state_2014,pc_name_2014,candidate_2014,party_2014,party_symbol_2014,general_votes_2014,postal_votes_2014,total_votes_2014,total_electors_2014,candidate_2019,party_2019,party_symbol_2019,general_votes_2019,postal_votes_2019,total_votes_2019,total_electors_2019,percentage_votes_2019
Gujarat,Junagadh,"CHUDASAMA RAJESHBHAI NARANBHAI",BJP,Lotus,511017,2162,513179,1485543,"CHUDASAMA RAJESHBHAI NARANBHAI",BJP,Lotus,543429,4315,547744,1642864,54.5158
"Madhya Pradesh",SIDHI,"RITI PATHAK",BJP,Lotus,475286,392,475678,1736048,"Riti Pathak",BJP,Lotus,697212,1130,698342,1845547,54.4429
"Uttar Pradesh",Fatehpur,"NIRANJAN JYOTI",BJP,Lotus,485360,634,485994,1804753,"NIRANJAN JYOTI",BJP,Lotus,563715,2325,566040,1839312,54.2363
"Madhya Pradesh",KHARGONE,"SUBHASH PATEL",BJP,Lotus,648766,588,649354,1703272,"GAJENDRA UMRAO SINGH PATEL",BJP,Lotus,772221,1329,773550,1834385,54.1851
Karnataka,"Bangalore Rural","D K SURESH",INC,Hand,652626,97,652723,2190398,"D.K. SURESH",INC,Hand,877712,546,878258,2497458,54.1497
Punjab,Firozpur,"SHER SINGH GHUBAYA",SAD,Scales,487737,195,487932,1522111,"SUKHBIR SINGH BADAL",SAD,Scales,631100,2327,633427,1618419,54.0452
Karnataka,Haveri,"UDASI SHIVAKUMAR CHANNABASAPPA",BJP,Lotus,566454,336,566790,1558749,"UDASI. S.C.",BJP,Lotus,681147,2513,683660,1708510,53.9726
Maharashtra,"Mumbai North central","POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO",BJP,Lotus,478264,271,478535,1737084,"POONAM MAHAJAN",BJP,Lotus,485815,857,486672,1679891,53.9677
Maharashtra,Wardha,"RAMDAS CHANDRABHANJI TADAS",BJP,Lotus,536778,740,537518,1564552,"Ramdas Chandrabhanji Tadas",BJP,Lotus,575488,2876,578364,1743283,53.9232
"NCT OF Delhi","NORTH EAST DELHI              ","MANOJ TIWARI",BJP,Lotus,593346,2779,596125,1957708,"MANOJ TIWARI",BJP,Lotus,785262,2537,787799,2290492,53.9044
Bihar,"Hajipur (SC)","RAMVILAS PASWAN",LJP,Bungalow,454874,778,455652,1649547,"PASHU PATI KUMAR PARAS",LJP,Bungalow,539665,1645,541310,1823664,53.7645
"Uttar Pradesh",Mainpuri,"MULAYAM SINGH YADAV",SP,Bicycle,595455,463,595918,1653058,"MULAYAM SINGH YADAV",SP,Bicycle,523145,1781,524926,1723236,53.7549
"Madhya Pradesh",DHAR,"SAVITRI THAKUR",BJP,Lotus,557816,571,558387,1668441,"CHATTARSINGH DARBAR",BJP,Lotus,721025,1122,722147,1786151,53.7259
"Uttar Pradesh",Hardoi,"ANSHUL VERMA",BJP,Lotus,360473,28,360501,1714388,"Jai Prakash",BJP,Lotus,567244,899,568143,1807119,53.7222
"Uttar Pradesh",Kheri,"AJAY KUMAR",BJP,Lotus,398563,15,398578,1679466,"Ajay Kumar",BJP,Lotus,609285,304,609589,1770699,53.6298
Meghalaya,Shillong,"VINCENT H. PALA",INC,Hand,209288,52,209340,980740,"VINCENT H. PALA",INC,Hand,419212,477,419689,1197806,53.5188
Jharkhand,Godda,"NISHIKANT DUBEY",BJP,Lotus,380314,186,380500,1590772,"Nishikant Dubey",BJP,Lotus,635383,2227,637610,1716766,53.3996
